,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,25933,8977,23296,22397,29560,8462,5643,24415,19729.0,15621.0,22447.0,21512.0,11650.0,,,,,,,
1,9353,19321,5134,3406,11266,7507,27711,10242,27892.0,2102.0,,,,,,,,,,
2,25933,4859,16119,2378,5596,2483,7847,6129,,,,,,,,,,,,
3,9617,3490,9067,9006,2229,20464,9232,3406,6761.0,12399.0,18447.0,5369.0,19792.0,9354.0,,,,,,
4,25933,11483,23278,17713,29427,6182,16643,11219,22117.0,20060.0,10376.0,7416.0,4103.0,12172.0,,,,,,
5,2619,18780,3736,11266,2239,13088,29098,2075,23298.0,10760.0,2078.0,13088.0,9331.0,28032.0,6279.0,5685.0,18780.0,3385.0,7875.0,5004.0
6,11113,15532,7585,10169,2483,4135,23212,13807,4779.0,28433.0,2078.0,,,,,,,,,
7,25933,8540,28518,23490,2483,9103,8737,2075,7840.0,10354.0,10127.0,,,,,,,,,
8,12943,22107,11253,3549,17933,5794,4667,29560,7559.0,2075.0,18447.0,15689.0,14074.0,4305.0,2890.0,7542.0,,,,
9,25933,2078,24415,28522,3600,23095,19009,7847,6129.0,3366.0,18037.0,,,,,,,,,
10,11113,6977,24032,27659,14432,28234,18376,4402,6761.0,12399.0,11097.0,,,,,,,,,
11,25933,2078,10105,5705,13832,2386,24415,10354,2953.0,22287.0,4140.0,8496.0,14341.0,3406.0,4783.0,15549.0,3388.0,,,
12,25933,2078,17122,11493,3406,10464,20778,5104,10285.0,22974.0,12190.0,10258.0,16503.0,28234.0,5092.0,19510.0,5369.0,8270.0,,
13,1996,3726,16066,23057,25855,6455,24333,18447,14573.0,3388.0,4609.0,11877.0,,,,,,,,
14,14863,4017,3238,14406,4502,15859,3385,10760,12792.0,7741.0,2075.0,27900.0,4765.0,9825.0,7951.0,25084.0,,,,
15,2004,6442,10010,14643,9328,2075,12162,5886,10732.0,13068.0,16365.0,,,,,,,,,
16,22091,20778,2483,17298,28891,13807,4859,23410,23093.0,10760.0,20799.0,2015.0,17048.0,17298.0,28891.0,3070.0,,,,
17,25933,2078,24415,15733,2239,24158,17364,3388,18866.0,28234.0,8017.0,8449.0,24410.0,9189.0,,,,,,
18,12943,14301,2098,11774,26915,23809,18697,7911,21270.0,2368.0,4892.0,,,,,,,,,
19,3198,3686,6277,11124,16150,28765,13512,11285,2239.0,24158.0,8337.0,2618.0,6277.0,,,,,,,
20,2402,20799,11020,2721,14853,24415,24158,11774,5685.0,7847.0,6129.0,,,,,,,,,
21,12943,26230,12069,14270,7741,22974,12190,26338,2135.0,15227.0,9148.0,25057.0,16869.0,,,,,,,
22,1996,20464,19224,10286,6633,4492,2075,2638,18413.0,3406.0,10760.0,3993.0,13728.0,7828.0,,,,,,
23,25933,7229,2094,10169,2964,15495,5833,18447,15689.0,14406.0,2121.0,,,,,,,,,
24,15180,13535,20363,10760,14479,11039,12083,21011,3406.0,18150.0,5833.0,,,,,,,,,
25,2176,5051,27469,16200,29417,12054,15549,14343,4877.0,12069.0,7847.0,6129.0,18447.0,5369.0,25046.0,,,,,
26,4748,6824,5017,2483,19442,2075,23816,6824,24415.0,7138.0,7406.0,24333.0,13102.0,13089.0,,,,,,
27,2004,16377,10623,24198,2099,9103,25370,7245,16336.0,13947.0,10760.0,9628.0,,,,,,,,
28,2070,6844,14905,2666,12069,19321,8684,28234,16416.0,16425.0,13775.0,10169.0,,,,,,,,
29,9353,4017,2863,26715,2135,5302,6961,9497,19699.0,9626.0,15154.0,14876.0,7716.0,,,,,,,
30,25933,3619,4328,4244,5685,17298,5603,11493,3406.0,10760.0,7712.0,18981.0,27406.0,,,,,,,
31,19557,6392,2386,25711,5643,5092,11201,13629,2595.0,24759.0,10244.0,10760.0,4135.0,9289.0,,,,,,
32,25933,26148,23410,7875,14517,7485,9331,28032,2239.0,24158.0,4974.0,,,,,,,,,
33,11113,18232,13465,2389,6834,3406,6761,12399,11097.0,24415.0,6761.0,11837.0,23835.0,,,,,,,
34,22091,20778,11129,2075,3406,8663,13181,2140,5886.0,7265.0,7446.0,,,,,,,,,
35,1996,7741,23169,7662,16774,12069,17904,23067,6559.0,29278.0,7652.0,,,,,,,,,
36,25933,8977,16689,28234,17695,5685,4974,19093,12614.0,11774.0,8449.0,22662.0,2378.0,12792.0,11253.0,10631.0,26775.0,25232.0,,
37,9353,7140,21112,5794,4667,18447,15689,5243,6633.0,10024.0,3401.0,5243.0,9905.0,12399.0,,,,,,
38,9353,7140,10814,13068,26760,8939,5243,9905,12399.0,7377.0,4313.0,,,,,,,,,
39,25933,20554,14659,2075,7698,4135,6559,6342,9739.0,5104.0,5051.0,29243.0,3406.0,24158.0,2890.0,21031.0,7542.0,,,
40,25933,3619,9328,24415,24158,2243,3490,7959,5685.0,6155.0,13181.0,17240.0,7301.0,20744.0,,,,,,
41,22091,20778,11921,13687,28234,4859,23410,3686,10610.0,8545.0,2140.0,,,,,,,,,
42,12943,4313,6856,25855,6834,24415,24158,19699,9013.0,8718.0,10760.0,4580.0,,,,,,,,
43,22091,20778,3981,16558,15808,11961,21246,21818,20952.0,2953.0,7652.0,2015.0,,,,,,,,
44,3283,7716,4135,23212,3070,12193,25811,28522,18009.0,13102.0,5833.0,2075.0,,,,,,,,
45,11325,15909,9286,8569,3363,16168,14289,27659,11921.0,6834.0,24158.0,2669.0,9077.0,5833.0,,,,,,
46,25933,3619,10199,4877,3597,16020,12377,7875,10524.0,27698.0,8490.0,,,,,,,,,
47,23957,17753,20573,14643,28234,17048,5886,27576,24415.0,20192.0,10736.0,2863.0,3489.0,6279.0,,,,,,
48,12943,26230,2964,15495,10354,7974,22299,11493,8988.0,20793.0,5685.0,10760.0,16275.0,25785.0,3736.0,12734.0,,,,
49,25933,8977,28032,3436,3981,9954,5369,14949,8490.0,27819.0,25311.0,2483.0,15950.0,11774.0,,,,,,
